ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
AMZN,1997-09-04,28.38,30.63,28.13,30.63,279000.0,0.0,1.0,2.3649999999999998,2.5524999999999998,2.3441666666666663,2.5524999999999998,3348000.0
AMZN,1997-09-05,31.0,32.0,29.5,30.0,159000.0,0.0,1.0,2.583333333333333,2.6666666666666665,2.458333333333333,2.5,1908000.0
AMZN,1997-09-08,30.38,36.25,30.0,36.0,470700.0,0.0,1.0,2.5316666666666663,3.020833333333333,2.5,3.0,5648400.0
AMZN,1997-09-09,37.75,40.63,36.38,38.88,747600.0,0.0,1.0,3.145833333333333,3.3858333333333333,3.0316666666666667,3.24,8971200.0
AMZN,1997-09-10,39.75,40.0,37.5,39.63,322200.0,0.0,1.0,3.3125,3.333333333333333,3.125,3.3025,3866400.0
AMZN,1997-09-11,38.88,40.0,36.5,37.88,355200.0,0.0,1.0,3.24,3.333333333333333,3.0416666666666665,3.1566666666666667,4262400.0
AMZN,1997-09-12,38.25,44.38,37.88,44.25,277800.0,0.0,1.0,3.1875,3.6983333333333333,3.1566666666666667,3.6875,3333600.0
AMZN,1997-09-15,42.38,44.13,36.63,37.13,465300.0,0.0,1.0,3.5316666666666667,3.6775,3.0525,3.0941666666666667,5583600.0
AMZN,1997-09-16,38.75,42.5,37.5,40.25,536000.0,0.0,1.0,3.2291666666666665,3.5416666666666665,3.125,3.3541666666666665,6432000.0
AMZN,1997-09-17,41.5,42.0,40.0,40.88,217300.0,0.0,1.0,3.458333333333333,3.5,3.333333333333333,3.4066666666666667,2607600.0
AMZN,1997-09-18,41.25,41.63,39.38,39.5,177400.0,0.0,1.0,3.4375,3.4691666666666667,3.2816666666666667,3.2916666666666665,2128800.0
AMZN,1997-09-19,41.63,49.0,40.5,47.38,744100.0,0.0,1.0,3.4691666666666667,4.083333333333333,3.375,3.9483333333333333,8929200.0
AMZN,1997-09-22,48.63,56.13,47.38,54.0,1411500.0,0.0,1.0,4.0525,4.6775,3.9483333333333333,4.5,16938000.0
AMZN,1997-09-23,53.88,55.75,52.75,55.5,640200.0,0.0,1.0,4.49,4.645833333333333,4.395833333333333,4.625,7682400.0
AMZN,1997-09-24,55.75,57.75,51.5,52.5,683400.0,0.0,1.0,4.645833333333333,4.8125,4.291666666666666,4.375,8200800.0
AMZN,1997-09-25,49.5,52.25,48.63,49.0,414000.0,0.0,1.0,4.125,4.354166666666666,4.0525,4.083333333333333,4968000.0
AMZN,1997-09-26,50.88,51.13,48.63,50.0,227600.0,0.0,1.0,4.24,4.260833333333333,4.0525,4.166666666666666,2731200.0
AMZN,1997-09-29,49.75,50.25,47.5,48.5,197600.0,0.0,1.0,4.145833333333333,4.1875,3.958333333333333,4.041666666666666,2371200.0
AMZN,1997-09-30,48.0,52.25,45.63,52.13,437900.0,0.0,1.0,4.0,4.354166666666666,3.8025,4.344166666666666,5254800.0
AMZN,1997-10-01,51.38,54.0,47.25,48.25,416600.0,0.0,1.0,4.281666666666666,4.5,3.9375,4.020833333333333,4999200.0
AMZN,1997-10-02,48.5,50.13,47.88,48.13,156400.0,0.0,1.0,4.041666666666666,4.1775,3.99,4.010833333333333,1876800.0
AMZN,1997-10-03,49.0,49.5,47.75,48.25,97000.0,0.0,1.0,4.083333333333333,4.125,3.9791666666666665,4.020833333333333,1164000.0
AMZN,1997-10-06,48.0,49.5,47.38,49.5,169000.0,0.0,1.0,4.0,4.125,3.9483333333333333,4.125,2028000.0
AMZN,1997-10-07,49.0,50.25,48.5,48.75,145200.0,0.0,1.0,4.083333333333333,4.1875,4.041666666666666,4.0625,1742400.0
AMZN,1997-10-08,49.75,50.0,47.88,48.13,233900.0,0.0,1.0,4.145833333333333,4.166666666666666,3.99,4.010833333333333,2806800.0
AMZN,1997-10-09,48.0,48.25,44.88,45.0,329200.0,0.0,1.0,4.0,4.020833333333333,3.74,3.75,3950400.0
AMZN,1997-10-10,45.0,48.75,44.0,46.88,315600.0,0.0,1.0,3.75,4.0625,3.6666666666666665,3.9066666666666667,3787200.0
AMZN,1997-10-13,48.0,48.5,47.13,48.0,67900.0,0.0,1.0,4.0,4.041666666666666,3.9275,4.0,814800.0
AMZN,1997-10-14,48.75,49.25,46.0,47.75,128900.0,0.0,1.0,4.0625,4.104166666666666,3.833333333333333,3.9791666666666665,1546800.0
AMZN,1997-10-15,47.0,47.63,45.25,47.13,196300.0,0.0,1.0,3.9166666666666665,3.9691666666666667,3.770833333333333,3.9275,2355600.0
AMZN,1997-10-16,46.88,47.75,43.25,43.5,290100.0,0.0,1.0,3.9066666666666667,3.9791666666666665,3.6041666666666665,3.625,3481200.0
AMZN,1997-10-17,43.38,43.88,42.25,43.5,211200.0,0.0,1.0,3.615,3.6566666666666667,3.520833333333333,3.625,2534400.0
AMZN,1997-10-20,46.0,46.5,44.0,45.88,409400.0,0.0,1.0,3.833333333333333,3.875,3.6666666666666665,3.8233333333333333,4912800.0
AMZN,1997-10-21,47.5,53.25,46.25,53.13,1008000.0,0.0,1.0,3.958333333333333,4.4375,3.8541666666666665,4.4275,12096000.0
AMZN,1997-10-22,53.0,55.5,52.5,54.25,434000.0,0.0,1.0,4.416666666666666,4.625,4.375,4.520833333333333,5208000.0
AMZN,1997-10-23,52.25,54.75,50.25,54.0,471400.0,0.0,1.0,4.354166666666666,4.5625,4.1875,4.5,5656800.0
AMZN,1997-10-24,57.0,60.75,54.5,60.38,791000.0,0.0,1.0,4.75,5.0625,4.541666666666666,5.031666666666666,9492000.0
AMZN,1997-10-27,57.63,60.13,50.75,51.25,507600.0,0.0,1.0,4.8025,5.010833333333333,4.229166666666666,4.270833333333333,6091200.0
AMZN,1997-10-28,47.0,60.0,46.5,59.38,976600.0,0.0,1.0,3.9166666666666665,5.0,3.875,4.948333333333333,11719200.0
AMZN,1997-10-29,61.75,66.0,60.0,64.75,593900.0,0.0,1.0,5.145833333333333,5.5,5.0,5.395833333333333,7126800.0
AMZN,1997-10-30,62.5,64.25,60.5,61.5,397500.0,0.0,1.0,5.208333333333333,5.354166666666666,5.041666666666666,5.125,4770000.0
